cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
100,,244,12.2,intent_only,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_visual_aggregation-r00,light_visual_aggregation
100,,244,11.619048,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_visual_aggregation-r01,light_visual_aggregation
100,,244,12.2,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_visual_aggregation-r02,light_visual_aggregation
100,,244,12.2,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_visual_aggregation-r03,light_visual_aggregation
100,,244,11.619048,intent_only,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_visual_aggregation-r04,light_visual_aggregation
100,,244,11.619048,context_aware,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_visual_aggregation-r00,light_visual_aggregation
100,,244,11.619048,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_visual_aggregation-r01,light_visual_aggregation
100,,244,11.619048,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_visual_aggregation-r02,light_visual_aggregation
100,,244,12.2,context_aware,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_visual_aggregation-r03,light_visual_aggregation
100,,244,12.2,context_aware,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_visual_aggregation-r04,light_visual_aggregation
1500,,1464,69.714286,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_medium-r00,ml_sklearn_fit_medium
1500,,1464,69.714286,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_medium-r01,ml_sklearn_fit_medium
1500,,1464,73.2,static_manual,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_medium-r02,ml_sklearn_fit_medium
1500,,1464,73.2,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_medium-r03,ml_sklearn_fit_medium
1500,,1464,73.2,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_medium-r04,ml_sklearn_fit_medium
1500,,1464,73.2,intent_only,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_medium-r00,ml_sklearn_fit_medium
1500,,1464,69.714286,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_medium-r01,ml_sklearn_fit_medium
1500,,1464,73.2,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_medium-r02,ml_sklearn_fit_medium
1500,,1464,69.714286,intent_only,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_medium-r03,ml_sklearn_fit_medium
1500,,1464,73.2,intent_only,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_medium-r04,ml_sklearn_fit_medium
1500,,1464,73.2,context_aware,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_medium-r00,ml_sklearn_fit_medium
1500,,1464,69.714286,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_medium-r01,ml_sklearn_fit_medium
1500,,1464,73.2,context_aware,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_medium-r02,ml_sklearn_fit_medium
1500,,1464,73.2,context_aware,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_medium-r03,ml_sklearn_fit_medium
1500,,1464,69.714286,context_aware,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_medium-r04,ml_sklearn_fit_medium
1500,,1464,6.873239,static_manual,,213,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_memory_pressure-r00,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,static_manual,,213,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_memory_pressure-r01,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,static_manual,,213,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_memory_pressure-r02,ml_sklearn_fit_memory_pressure
1500,,1464,6.841121,static_manual,,214,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_memory_pressure-r03,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,static_manual,,213,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_memory_pressure-r04,ml_sklearn_fit_memory_pressure
500,,732,3.43662,intent_only,,213,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_memory_pressure-r00,ml_sklearn_fit_memory_pressure
500,,732,3.43662,intent_only,,213,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_memory_pressure-r01,ml_sklearn_fit_memory_pressure
500,,732,3.420561,intent_only,,214,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_memory_pressure-r02,ml_sklearn_fit_memory_pressure
500,,732,3.43662,intent_only,,213,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_memory_pressure-r03,ml_sklearn_fit_memory_pressure
500,,732,3.43662,intent_only,,213,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_memory_pressure-r04,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,context_aware,,213,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_memory_pressure-r00,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,context_aware,,213,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_memory_pressure-r01,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,context_aware,,213,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_memory_pressure-r02,ml_sklearn_fit_memory_pressure
1500,,1464,6.873239,context_aware,,213,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_memory_pressure-r03,ml_sklearn_fit_memory_pressure
1500,,1464,6.90566,context_aware,,212,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_memory_pressure-r04,ml_sklearn_fit_memory_pressure
500,,732,34.857143,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_small-r00,ml_sklearn_fit_small
500,,732,34.857143,static_manual,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_small-r01,ml_sklearn_fit_small
500,,732,36.6,static_manual,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_small-r02,ml_sklearn_fit_small
500,,732,36.6,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_small-r03,ml_sklearn_fit_small
500,,732,36.6,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-ml_sklearn_fit_small-r04,ml_sklearn_fit_small
500,,732,34.857143,intent_only,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_small-r00,ml_sklearn_fit_small
500,,732,34.857143,intent_only,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_small-r01,ml_sklearn_fit_small
500,,732,34.857143,intent_only,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_small-r02,ml_sklearn_fit_small
500,,732,36.6,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_small-r03,ml_sklearn_fit_small
500,,732,36.6,intent_only,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-ml_sklearn_fit_small-r04,ml_sklearn_fit_small
500,,732,36.6,context_aware,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_small-r00,ml_sklearn_fit_small
500,,732,36.6,context_aware,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_small-r01,ml_sklearn_fit_small
500,,732,34.857143,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_small-r02,ml_sklearn_fit_small
500,,732,34.857143,context_aware,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_small-r03,ml_sklearn_fit_small
500,,732,36.6,context_aware,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-ml_sklearn_fit_small-r04,ml_sklearn_fit_small
500,,732,36.6,static_manual,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-policy_gpu_disallowed-r00,policy_gpu_disallowed
500,,732,36.6,static_manual,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-policy_gpu_disallowed-r01,policy_gpu_disallowed
